Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,How often do you use each of the following tools?,,,,,,,,,How proficient are you with each of the following tools?,,,,,,,,,How well do you think the following tools are suited for various areas of actuarial practice?,,,,,,,,,,,,,,,,,,,,,,,,,,,What other tools do you think should be added to the list above?,For which of the following tools do you plan to increase your proficiency in the next 12 months?,,,,,,,,,,What barriers (if any) are preventing you from learning new technology?,,,,,,,What barriers (if any) are preventing you from implementing new technology?,,,,,,,Which of the following general analytic techniques do you use regularly?,,,,,,,,,,,,Please use this space for any additional comments.,Designation,Age,Where are you located?,,What type of company do you work for?,,Approximate number of CAS actuaries at my organization:,How many years of experience do you have working in the actuarial field?
,,,,,,,,,R,Excel,Non-Excel spreadsheet like Google Sheets,SAS,Python,Data visualization tool like Tableau,Matlab/Octave,Business intelligence dasboarding tool like PowerBI,SQL,R,Excel,Non-Excel spreadsheet like Google Sheets,SAS,Python,Data visualization tool like Tableau,Matlab/Octave,Business intelligence dasboarding tool like PowerBI,SQL,R - Ratemaking,R - Reserving,R - Capital modeling,Excel - Ratemaking,Excel - Reserving,Excel - Capital modeling,Non-Excel spreadsheet like Google Sheets - Ratemaking,Non-Excel spreadsheet like Google Sheets - Reserving,Non-Excel spreadsheet like Google Sheets - Capital modeling,SAS - Ratemaking,SAS - Reserving,SAS - Capital modeling,Python - Ratemaking,Python - Reserving,Python - Capital modeling,Data visualization tool like Tableau - Ratemaking,Data visualization tool like Tableau - Reserving,Data visualization tool like Tableau - Capital modeling,Matlab/Octave - Ratemaking,Matlab/Octave - Reserving,Matlab/Octave - Capital modeling,Business intelligence dasboarding tool like PowerBI - Ratemaking,Business intelligence dasboarding tool like PowerBI - Reserving,Business intelligence dasboarding tool like PowerBI - Capital modeling,SQL - Ratemaking,SQL - Reserving,SQL - Capital modeling,Open-Ended Response,R,Excel,Google Sheets,SAS,Python,A data visualization tool like Tableau,Matlab/Octave,A business intelligence dashboarding tool like Power BI,SQL,Other (please specify),Insufficient/inadequate staff,Lack of management support,Lack of IT support,Financial cost,Not enough time,No perceived benefit,Other (please specify),Insufficient/inadequate staff,Lack of management support,Lack of IT support,Financial cost,Not enough time,No perceived benefit,Other (please specify),"Linear regression, including GLMs",Credibility,Premium adjustment,Excess loss analysis,"Bayesian analysis, and/or MCMC",Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",AI/deep learning,Chain-ladder,Tree-based methods like random forests,Unsupervised learning methods like clustering or PCA,Other (please specify),Open-Ended Response,Response,Response,Response,Other (please specify),Response,Other (please specify),Response,Response
12793985277,405148313,7/4/2021 18:42,7/4/2021 18:47,,,,,,Less than once a month,At least once a day,Less than once a month,Not at all,Not at all,Not at all,Not at all,Not at all,Less than once a month,Basic stuff,Expert,Advanced,Not at all,Basic stuff,,Not at all,Not at all,Intermediate,Somewhat,Somewhat,Unsure,Very much so,Very much so,Unsure,Not at all,Not at all,Unsure,Not at all,Not at all,Unsure,Somewhat,Somewhat,Unsure,Somewhat,Somewhat,Unsure,Not at all,Not at all,Unsure,Not at all,Not at all,Unsure,Somewhat,Somewhat,Unsure,,R,Excel,,,Python,,,,,,,,,,Not enough time,No perceived benefit,,,Lack of management support,,,Not enough time,,,"Linear regression, including GLMs",Credibility,Premium adjustment,Excess loss analysis,,Bornhuetter-Ferguson,,,Chain-ladder,,,,,ACAS,Up to 30 years old,United States,,Consulting Firm,,51-200,Between 5 and 10
12793928896,405148313,7/4/2021 17:49,7/4/2021 17:59,,,,,,About once a month,At least once a day,Not at all,About once a week,Less than once a month,About once a month,Not at all,About once a week,At least once a day,Basic stuff,Expert,Not at all,Advanced,Basic stuff,Basic stuff,Not at all,Basic stuff,Intermediate,Very much so,Very much so,Very much so,Somewhat,Somewhat,Somewhat,Unsure,Unsure,Unsure,Very much so,Somewhat,Somewhat,Very much so,Very much so,Very much so,Somewhat,Somewhat,Somewhat,Unsure,Unsure,Unsure,Somewhat,Somewhat,Somewhat,Very much so,Very much so,Very much so,,R,,,,Python,A data visualization tool like Tableau,,,,,,,,,Not enough time,,,,,,,,,,"Linear regression, including GLMs",Credibility,Premium adjustment,Excess loss analysis,,Bornhuetter-Ferguson,,,Chain-ladder,Tree-based methods like random forests,Unsupervised learning methods like clustering or PCA,,,FCAS,Up to 30 years old,Canada,,Insurance company,,26-50,Between 5 and 10
12793910020,405148313,7/4/2021 17:34,7/4/2021 17:38,,,,,,Less than once a month,At least once a day,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Basic stuff,Expert,Intermediate,Not at all,Basic stuff,Not at all,Basic stuff,Not at all,Basic stuff,Somewhat,Somewhat,,Somewhat,Somewhat,,Not at all,Not at all,,,,,Somewhat,Somewhat,,,,,Not at all,Not at all,,,,,,,,,R,,,,Python,,,,,,Insufficient/inadequate staff,Lack of management support,,,Not enough time,,,Insufficient/inadequate staff,Lack of management support,Lack of IT support,,Not enough time,No perceived benefit,,,Credibility,,Excess loss analysis,,Bornhuetter-Ferguson,,,Chain-ladder,,,,,FCAS,31-40 years old,United States,,Consulting Firm,,5-Jan,Between 15 and 20
12793814078,405148313,7/4/2021 15:23,7/4/2021 15:30,,,,,,Not at all,At least once a day,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,At least once a day,Basic stuff,Expert,Intermediate,Basic stuff,Not at all,Not at all,Not at all,Not at all,Advanced,Not at all,Not at all,Somewhat,Very much so,Somewhat,Very much so,Not at all,Not at all,Not at all,Somewhat,Not at all,Somewhat,Not at all,Not at all,Not at all,Somewhat,Not at all,Somewhat,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Very much so,Very much so,Very much so,,,,,,,,,,,,Insufficient/inadequate staff,,,,,,The fact that the fellows in charge have no idea how to use most of this technology.,Insufficient/inadequate staff,Lack of management support,,,,,The fact that fellows with 20+ years of experience do not know how to use most of these tools.,,,,,,Bornhuetter-Ferguson,,,Chain-ladder,,,,"Taking the time to mention that your organization needs to do some sort of overhaul. The number of 20+ year experience credentialed fellows who cannot use excel, r, sas, sql is embarrassing. Instead of increasing the barriers to entry, your organization needs to focus on how to make sure your credentialed members are still qualified to use their credentials. I am going to keep jotting this down on every single survey until I see a change. ",ACAS,Up to 30 years old,United States,,Insurance company,,10-Jun,Between 5 and 10
12793773351,405148313,7/4/2021 14:35,7/4/2021 14:38,,,,,,About once a month,At least once a day,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Basic stuff,Expert,Intermediate,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,,,,,,,,,,,Really not sure where to start,,,,,Not enough time,,I seem to be able to do everything I need to do with Excel,Insufficient/inadequate staff,Lack of management support,,Financial cost,Not enough time,No perceived benefit,,,Credibility,,,,Bornhuetter-Ferguson,,,Chain-ladder,,,,,ACAS,31-40 years old,United States,,Consulting Firm,,10-Jun,Between 5 and 10
12793614511,405148313,7/4/2021 11:30,7/4/2021 11:32,,,,,,Less than once a month,At least once a day,Not at all,Not at all,Not at all,Less than once a month,Not at all,Not at all,About once a week,Basic stuff,Advanced,Basic stuff,Not at all,Basic stuff,Not at all,Not at all,Not at all,Intermediate,Somewhat,,,Somewhat,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,Not enough time,,,,,Lack of IT support,,,,,"Linear regression, including GLMs",Credibility,,,,Bornhuetter-Ferguson,,,,,,,,None yet,Up to 30 years old,United States,,,,25-Nov,Less than 5
12793490276,405148313,7/4/2021 9:17,7/4/2021 9:20,,,,,,Less than once a month,At least once a day,Less than once a month,At least once a day,Less than once a month,Not at all,Not at all,At least once a day,At least once a day,Not at all,Expert,Expert,Expert,Basic stuff,Not at all,Not at all,Expert,Expert,Very much so,Somewhat,Somewhat,Very much so,Very much so,Somewhat,Not at all,Not at all,Not at all,Very much so,Very much so,Very much so,Very much so,Not at all,Very much so,Somewhat,Somewhat,Somewhat,Unsure,Unsure,Unsure,Very much so,Very much so,Not at all,Very much so,Very much so,Very much so,,R,,,,Python,,,,,,Insufficient/inadequate staff,,,,Not enough time,,,,,,,,,,"Linear regression, including GLMs",Credibility,Premium adjustment,Excess loss analysis,,Bornhuetter-Ferguson,,,Chain-ladder,,Unsupervised learning methods like clustering or PCA,,,FCAS,31-40 years old,United States,,Insurance company,,51-200,Between 15 and 20
12792760841,405148313,7/3/2021 17:49,7/3/2021 17:53,,,,,,Less than once a month,At least once a day,About once a week,At least once a day,Not at all,Not at all,Not at all,About once a month,At least once a day,Basic stuff,Expert,Intermediate,Intermediate,Not at all,Not at all,Not at all,Not at all,Advanced,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Unsure,Somewhat,Somewhat,Unsure,Not at all,Not at all,Not at all,Somewhat,Somewhat,Unsure,Somewhat,Somewhat,Somewhat,,R,,,,,,,,,,,Lack of management support,,,Not enough time,,,,,,,Not enough time,,,"Linear regression, including GLMs",Credibility,Premium adjustment,Excess loss analysis,,,"Time series analysis, including claim trend analysis",,Chain-ladder,,,,,FCAS,Up to 30 years old,United States,,Insurance company,,51-200,Between 5 and 10
12792526214,405148313,7/3/2021 13:12,7/3/2021 13:16,,,,,,Not at all,At least once a day,At least once a day,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Advanced,Intermediate,Not at all,,Not at all,Not at all,Not at all,Not at all,Somewhat,Not at all,Not at all,Very much so,Very much so,Very much so,,,,Somewhat,Somewhat,Somewhat,Unsure,Unsure,Unsure,Not at all,Not at all,Not at all,Unsure,Unsure,Unsure,Not at all,Not at all,Not at all,Somewhat,Somewhat,Somewhat,Arius,,Excel,Google Sheets,,,A data visualization tool like Tableau,,,,,,,,,Not enough time,No perceived benefit,,Insufficient/inadequate staff,,,,Not enough time,No perceived benefit,,,,,,,Bornhuetter-Ferguson,,,Chain-ladder,,,,,FCAS,51-60 years old,United States,,Consulting Firm,,51-200,More than 20
12792487850,405148313,7/3/2021 12:32,7/3/2021 12:38,,,,,,At least once a day,At least once a day,Less than once a month,Not at all,At least once a day,About once a month,Not at all,Not at all,At least once a day,Intermediate,Advanced,Intermediate,Intermediate,Advanced,Basic stuff,Not at all,Not at all,Expert,Very much so,Very much so,Unsure,Somewhat,Very much so,Unsure,Not at all,Not at all,Unsure,Very much so,Somewhat,Unsure,Very much so,Somewhat,Unsure,Somewhat,Somewhat,Unsure,Not at all,Unsure,Unsure,Unsure,Unsure,Unsure,Very much so,Very much so,Unsure,Git  Access  DataRobot,R,,,,Python,,,,,,,,,,Not enough time,,,Insufficient/inadequate staff,,,,Not enough time,,,"Linear regression, including GLMs",,,,"Bayesian analysis, and/or MCMC",,,,,Tree-based methods like random forests,Unsupervised learning methods like clustering or PCA,,,FCAS,31-40 years old,United States,,Consulting Firm,,5-Jan,Between 5 and 10
12792372715,405148313,7/3/2021 10:48,7/3/2021 10:52,,,,,,Less than once a month,At least once a day,Not at all,Not at all,Not at all,Not at all,Not at all,Less than once a month,At least once a day,Intermediate,Expert,Basic stuff,Intermediate,Not at all,Not at all,Not at all,Basic stuff,Expert,Very much so,Somewhat,Unsure,Very much so,Very much so,Unsure,Unsure,Unsure,Unsure,Very much so,Somewhat,Unsure,Very much so,Somewhat,Unsure,Very much so,Somewhat,Unsure,Unsure,Unsure,Unsure,Very much so,Somewhat,Unsure,Very much so,Very much so,Unsure,,R,,,,Python,,,A business intelligence dashboarding tool like Power BI,,,Insufficient/inadequate staff,,,,Not enough time,,,Insufficient/inadequate staff,,,Financial cost,Not enough time,,,"Linear regression, including GLMs",Credibility,Premium adjustment,,,Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",,Chain-ladder,,,,,FCAS,31-40 years old,United States,,Insurance company,,5-Jan,Between 5 and 10
12792341201,405148313,7/3/2021 10:20,7/3/2021 10:24,,,,,,About once a week,At least once a day,Not at all,About once a month,Not at all,Not at all,Not at all,About once a month,About once a month,Intermediate,Expert,Expert,Basic stuff,Not at all,Basic stuff,Not at all,Intermediate,Basic stuff,Very much so,Very much so,Very much so,Somewhat,Somewhat,Not at all,Somewhat,Somewhat,Not at all,Very much so,Somewhat,Not at all,Very much so,Very much so,Very much so,Not at all,Not at all,Not at all,Unsure,Unsure,Unsure,Not at all,Not at all,Not at all,Very much so,Somewhat,Not at all,,R,Excel,,,Python,,,,SQL,,,,,,Not enough time,,,Insufficient/inadequate staff,,,,,,,"Linear regression, including GLMs",Credibility,Premium adjustment,Excess loss analysis,,,"Time series analysis, including claim trend analysis",,,Tree-based methods like random forests,Unsupervised learning methods like clustering or PCA,,,FCAS,Up to 30 years old,United States,,Insurance company,,51-200,Between 5 and 10
12792276041,405148313,7/3/2021 9:22,7/3/2021 9:26,,,,,,Not at all,At least once a day,Not at all,At least once a day,Not at all,Not at all,Not at all,Not at all,About once a week,Not at all,Advanced,Not at all,Advanced,Not at all,Not at all,Not at all,Not at all,Intermediate,Somewhat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,Not enough time,,,,,,,Not enough time,,,"Linear regression, including GLMs",,,,,,,AI/deep learning,,Tree-based methods like random forests,,,,FCAS,41-50 years old,Canada,,Insurance company,,200+,More than 20
12791703540,405148313,7/2/2021 23:22,7/2/2021 23:25,,,,,,Not at all,At least once a day,At least once a day,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Basic stuff,Expert,Advanced,Not at all,Basic stuff,Not at all,Not at all,Not at all,Basic stuff,Unsure,Unsure,Unsure,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Unsure,Unsure,Unsure,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Unsure,Unsure,Unsure,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Radar (from Willis Towers Watson) for ratemaking,,,,,,A data visualization tool like Tableau,,A business intelligence dashboarding tool like Power BI,,,,Lack of management support,Lack of IT support,Financial cost,,,,,,,,,,Not yet at that level,,,,,,,,,,,,,,ACAS,Up to 30 years old,Asia,,Insurance company,,200+,Between 5 and 10
12791514710,405148313,7/2/2021 20:10,7/2/2021 20:12,,,,,,Not at all,At least once a day,Less than once a month,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Intermediate,Basic stuff,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FCAS,61 or older,United States,,Consulting Firm,,5-Jan,More than 20
12791483211,405148313,7/2/2021 19:39,7/2/2021 19:45,,,,,,Not at all,At least once a day,Not at all,At least once a day,Less than once a month,Not at all,Not at all,Not at all,Not at all,Basic stuff,Advanced,Basic stuff,Advanced,Intermediate,Not at all,Not at all,Not at all,Basic stuff,Somewhat,Unsure,Unsure,Very much so,Very much so,Somewhat,Unsure,Unsure,Unsure,Very much so,Unsure,Unsure,Somewhat,Not at all,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,,,,,,Python,,,,,,,,,,Not enough time,No perceived benefit,No project needs it,,,,,,,,"Linear regression, including GLMs",,,,,,,AI/deep learning,,Tree-based methods like random forests,Unsupervised learning methods like clustering or PCA,,,FCAS,Up to 30 years old,United States,,Insurance company,,200+,Between 5 and 10
12791435537,405148313,7/2/2021 19:01,7/2/2021 19:07,,,,,,About once a week,At least once a day,Not at all,At least once a day,Not at all,Not at all,Not at all,About once a month,About once a week,Advanced,Expert,Not at all,Advanced,Not at all,Not at all,Not at all,Basic stuff,Advanced,Somewhat,Not at all,Somewhat,Somewhat,Very much so,Not at all,Unsure,Unsure,Unsure,Very much so,Very much so,Very much so,,,,,,,Unsure,Unsure,Unsure,,,,Not at all,Not at all,Not at all,,R,,,,Python,,,,,,,,,,Not enough time,,,,Lack of management support,,,,,,"Linear regression, including GLMs",,Premium adjustment,Excess loss analysis,,Bornhuetter-Ferguson,,,Chain-ladder,,,,,FCAS,31-40 years old,United States,,Insurance company,,51-200,Between 5 and 10
12791328257,405148313,7/2/2021 17:47,7/2/2021 17:54,,,,,,Not at all,At least once a day,Less than once a month,At least once a day,Less than once a month,About once a week,Not at all,Not at all,At least once a day,Basic stuff,Advanced,Basic stuff,Advanced,Intermediate,Intermediate,Not at all,Not at all,Advanced,,,,Very much so,Very much so,Unsure,Not at all,Not at all,Not at all,Very much so,Very much so,Very much so,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Unsure,Unsure,Unsure,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Unsure,Spark,,,,,Python,,,,,,,,,,Not enough time,,,,,,,Not enough time,,Too many things using old technology. Will need time to transition ,"Linear regression, including GLMs",,,,,,"Time series analysis, including claim trend analysis",,,,,Adhoc analytics ,,FCAS,51-60 years old,United States,,Insurance company,,200+,Between 15 and 20
12791214334,405148313,7/2/2021 16:36,7/2/2021 16:40,,,,,,Not at all,At least once a day,Not at all,About once a month,About once a month,About once a week,Not at all,Not at all,At least once a day,Basic stuff,Expert,Basic stuff,Intermediate,Basic stuff,Intermediate,Not at all,Not at all,Advanced,Somewhat,Somewhat,Somewhat,Very much so,Very much so,Very much so,Not at all,Not at all,Not at all,Somewhat,Somewhat,Somewhat,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Not at all,Not at all,Not at all,Unsure,Unsure,Unsure,Very much so,Very much so,Somewhat,I would add Qlikview but consider that data visualization so answered as such.,,,,,Python,,,,,,Insufficient/inadequate staff,,,,Not enough time,,,Insufficient/inadequate staff,,,,Not enough time,,,"Linear regression, including GLMs",Credibility,Premium adjustment,Excess loss analysis,,Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",,Chain-ladder,,,,,FCAS,31-40 years old,United States,,Insurance company,,200+,Between 10 and 15
12791208349,405148313,7/2/2021 16:31,7/2/2021 16:36,,,,,,Not at all,At least once a day,Less than once a month,Not at all,Not at all,Less than once a month,Not at all,Not at all,Not at all,Not at all,Advanced,Basic stuff,Basic stuff,Not at all,Basic stuff,Not at all,Not at all,Basic stuff,Unsure,Unsure,Unsure,Very much so,Very much so,Very much so,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,,,,,,,,,,,,,,,,Not enough time,,,,,,,,No perceived benefit,,"Linear regression, including GLMs",Credibility,Premium adjustment,Excess loss analysis,,Bornhuetter-Ferguson,,,Chain-ladder,,,Simulations,,FCAS,51-60 years old,United States,,Consulting Firm,,5-Jan,More than 20
12791143182,405148313,7/2/2021 15:51,7/2/2021 15:57,,,,,,About once a week,At least once a day,Less than once a month,Not at all,Less than once a month,Not at all,Not at all,Not at all,Less than once a month,Advanced,Advanced,Basic stuff,Basic stuff,Basic stuff,Not at all,Not at all,Not at all,Basic stuff,Very much so,Very much so,Very much so,Very much so,Very much so,Somewhat,Somewhat,Somewhat,Not at all,Very much so,Very much so,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Not at all,Unsure,Unsure,Unsure,Not at all,Not at all,Not at all,Somewhat,Somewhat,Not at all,"SPSS  Excel add-ins, such as @Risk",R,Excel,,,Python,,,,,,,,,,Not enough time,,,Insufficient/inadequate staff,,,,Not enough time,,,"Linear regression, including GLMs",Credibility,Premium adjustment,Excess loss analysis,"Bayesian analysis, and/or MCMC",Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",AI/deep learning,Chain-ladder,Tree-based methods like random forests,,,,FCAS,61 or older,United States,,Consulting Firm,,5-Jan,More than 20
12791104070,405148313,7/2/2021 15:31,7/2/2021 15:35,,,,,,Not at all,At least once a day,Not at all,Not at all,Not at all,About once a week,Not at all,Less than once a month,At least once a day,Not at all,Expert,Basic stuff,Intermediate,Not at all,Advanced,Not at all,Advanced,Expert,Unsure,Unsure,Unsure,Very much so,Very much so,Very much so,Unsure,Unsure,Unsure,Very much so,Very much so,Unsure,Unsure,Unsure,Unsure,Very much so,Very much so,Very much so,Unsure,Unsure,Unsure,Very much so,Very much so,Very much so,Very much so,Very much so,Unsure,,R,,,,Python,A data visualization tool like Tableau,,A business intelligence dashboarding tool like Power BI,,,Insufficient/inadequate staff,,Lack of IT support,,Not enough time,,,Insufficient/inadequate staff,,Lack of IT support,,Not enough time,,,,Credibility,Premium adjustment,Excess loss analysis,,Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",,Chain-ladder,,,,,FCAS,31-40 years old,United States,,Insurance company,,51-200,Between 10 and 15
12791049756,405148313,7/2/2021 10:10,7/2/2021 15:02,,,,,,Not at all,At least once a day,Not at all,Not at all,Less than once a month,Less than once a month,Not at all,About once a month,Not at all,Not at all,Expert,Intermediate,Basic stuff,Basic stuff,Basic stuff,Not at all,Basic stuff,Basic stuff,Very much so,Very much so,Very much so,Somewhat,Very much so,Somewhat,Somewhat,Somewhat,Somewhat,Very much so,Unsure,Unsure,Very much so,Very much so,Very much so,Very much so,Very much so,,Unsure,Unsure,Unsure,Somewhat,Somewhat,Somewhat,Somewhat,Very much so,Not at all,"Alteryx, KNIME, Power Query and Power Pivot (Excel implementation rather than Power BI implementation), other actuarial specific tools (ResQ, Emblem, Psicle Dynamo, Tyche, etc), VBA (legacy), Office Scripts, Power Automate, ",,,,,Python,A data visualization tool like Tableau,,A business intelligence dashboarding tool like Power BI,,,,,,,Not enough time,,,Insufficient/inadequate staff,Lack of management support,Lack of IT support,Financial cost,,,,,Credibility,Premium adjustment,Excess loss analysis,,Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",,Chain-ladder,,,,,FCAS,31-40 years old,"United Kingdom, Ireland",,Consulting Firm,,5-Jan,Between 10 and 15
